name,category,subcategory,address,opened,closed,status,date_basis,landmark,replaced_predecessor,source,notes
JAP Caffe & Brasserie,City Center Business,Cafe,Piața Mică,~2020,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d21214442.html,Specialty coffee terrace by the Bridge of Lies
Arcade Cafe,City Center Business,Cafe,Piața Mică 24,,,Open,,No,,https://www.facebook.com/ArcadeSibiu/,Café on the Small Square
TheRefresh,City Center Business,Cafe,Strada General Magheru 2,,,Open,,No,,https://wanderlog.com/list/geoCategory/17536/best-coffee-shops-and-best-cafes-in-sibiu,Cafe
Kleines Gelato,City Center Business,Cafe/Gelato,Sibiu historic center,,,Open,,No,,https://kleinesgelato.ro/,"Sicilian-style artisan gelateria; opened recently (2023-2025, sources conflict)"
Gelateria Nessa,City Center Business,Cafe/Gelato,Strada Cetății,~2024,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d27117477.html,Italian gelato behind the old center
Nod,City Center Business,Cafe,Piața Mică 27,2015-09-25,2025-01-05,Closed,press,No,,https://www.turnulsfatului.ro/2024/12/31/dupa-mai-bine-de-noua-ani-cafeneaua-nod-din-piata-mica-se-inchide-216733,"Open 25 Sep 2015, closed 5 Jan 2025; relocated to Piața Aurarilor"
AM PM Specialty Coffee & Brunch,City Center Business,Cafe,Strada Ocnei 25,~2019,~2025,Closed,review,No,,https://restaurantguru.com/AM-PM-coffee-and-more-Sibiu,"~close from last review"
Lili's Sibiu,City Center Business,Cafe,Strada Ocnei 30,~2022,~2025,Closed,review,No,,https://www.happycow.net/reviews/lilis-sibiu-273709,"Reported closed Jul 2025"
Cafe Einstein,City Center Business,Cafe,Piața Mică 13,~2011,2026-03,Closed,press,No,,https://www.turnulsfatului.ro/2026/03/08/einstein-cafe-s-a-inchis-bistro-kulinarium-i-a-luat-locul/,"Closed ~Mar 2026; space taken by Bistro Kulinarium"
Feel Fresh,City Center Business,Cafe,Strada Avram Iancu 6,~2020,~2021,Closed,review,No,,https://restaurantguru.com/FeelFresh-Sibiu,"Permanently closed; ~close from last review"
Music Pub,City Center Business,Pub,Piața Mică 23,~2014,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d6495508.html,Live-music cellar pub with roof terrace
Imperium Live,City Center Business,Pub,Strada Nicolae Bălcescu 24,~2015,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d8650838.html,Live-music pub in a historic cellar
St. Andrew's Scottish Pub,City Center Business,Pub,Strada Avram Iancu 11,~2016,,Open,review,No,,https://www.tripadvisor.com/Attraction_Review-g295393-d4697873.html,"60+ beers; latest TripAdvisor review ~2023 — verify still active"
Butoiul de Aur,City Center Business,Pub,Pasajul Scărilor,,,Open,,No,,https://wanderlog.com/list/geoCategory/17536/best-coffee-shops-and-best-cafes-in-sibiu,"Craft-beer pub in the Stairs Passage"
The Rabbit Hole,City Center Business,Bar,Piața Mare 10,~2018,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d14083206.html,"Bar/restaurant with guest house; last review ~2025"
House of Ellixirz,City Center Business,Bar,Strada Turnului 6,~2019,,Open,review,No,,https://www.tripadvisor.com/Attraction_Review-g295393-d17586271.html,"Cocktail bar; TripAdvisor flags closed but review activity contradicts — verify"
Flow - Refugiu Urban,City Center Business,Bar,Pasajul Scărilor 2,,,Open,,No,,https://sibiucityapp.ro/en/places?cat_type=pub_caffe_bar,Café/bar in the Stairs Passage
Naturo Juice,City Center Business,Bar (juice),Strada Nicolae Bălcescu 7,~2019,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d14210688.html,"Juice/smoothie bar (now ""Naturo Healthy Food"")"
House of Ellixirz (bar),City Center Business,Bar,Strada Turnului 6,,,Open,,No,,https://sibiucityapp.ro/en/places?cat_type=pub_caffe_bar,DUPLICATE — see House of Ellixirz row above
Lejer Cafe Bar,City Center Business,Bar,Strada Konrad Haas 1,2024,,Open,press,No,,https://www.facebook.com/sibiucityapp/posts/1106161774594306/,"Opened Oct 2024 (New-in-Sibiu announcement)"
Petit Patis,City Center Business,Bakery,Strada Turnului 24,~2019,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d17781225.html,French-style bakery & patisserie
5 Pâini și 2 Pești,City Center Business,Bakery,Sibiu,2003,,Open,press,No,,https://sibiucityapp.ro/en/places/5-paini-si-2-pesti,"Artisan bakery brand, operating since 2003"
Hotel Împăratul Romanilor,City Center Business,Hotel,Strada Nicolae Bălcescu 4,1555,,Open,press,Yes,,https://ro.wikipedia.org/wiki/Hotelul_%C3%8Emp%C4%83ratul_Romanilor_din_Sibiu,"Inn on site since 1555 (current building 1895); described as the oldest operating hotel in Romania"
Hotel Continental Forum Sibiu,City Center Business,Hotel,Bulevardul Nicolae Bălcescu (cnr Str. Andrei Șaguna),1912,,Open,press,Yes,,https://continental-forum-sibiu.continentalhotels.ro/en,"Hotel building from 1912; taken over by Continental Hotels in 2007"
Ramada Sibiu,City Center Business,Hotel,near Piața Mare,2007-06-12,,Open,press,Yes,,https://ramadasibiu.ro/en/despre-noi/,"Opened 12 June 2007 as the city's first 4-star hotel; management change 2024"
Hotel Am Ring,City Center Business,Hotel,Piața Mare,~2012,,Open,review,Yes,,https://www.amringhotel.ro/?lang=ro,"26 rooms overlooking Piața Mare; its restaurant is Amber Caffe"
Casa Luxemburg,City Center Business,Hotel/Restaurant,Piața Mică 16,~2015,,Open,review,Yes,,https://www.casaluxemburg.ro/,"Medieval building on the city fortifications; houses Atrium Bistro; low-confidence ~date"
Casa Nicolae Luxury Suites,City Center Business,Guesthouse,near Piața Mare,,,Open,,No,,https://www.hotels.com/nh11030659/hotels-in-sibiu-old-town-sibiu-romania/,Suites with terrace/garden
Baroc Accommodation Piața Mică,City Center Business,Guesthouse,Piața Mică,~2019,,Open,review,No,,https://www.tripadvisor.com/Hotel_Review-g295393-d15662496.html,Old-town guest accommodation
Used Products,City Center Business,Shop (second-hand),Strada Mitropoliei 1,2023-08-01,,Open,press,No,,https://www.turnulsfatului.ro/2023/08/02/used-products-a-ajuns-din-1-august-s-i-la-sibiu-204778,"Dutch new/pre-used goods retailer, opened 1 Aug 2023"
Magazin Dumbrava,City Center Business,Department store,Bulevardul Nicolae Bălcescu,,,Open,,No,,https://www.turnulsfatului.ro/2026/07/02/foto-magazinul-dumbrava-a-intrat-in-mileniul-3/,"Historic central store; modernized and reopened 2026 with Sinsay, Pepco and a Penny supermarket"
Zara Sibiu (Bălcescu),City Center Business,Shop (fashion),Strada Nicolae Bălcescu,,2019,Closed,press,No,,https://www.turnulsfatului.ro/2019/11/17/efectul-noului-mall-centrul-istoric-al-sibiului-se-goleste-de-magazine-158003,"~1,500 sqm store; relocated to Promenada Mall in 2019"
Massimo Dutti (Bălcescu),City Center Business,Shop (fashion),Strada Nicolae Bălcescu,,2019,Closed,press,No,,https://www.turnulsfatului.ro/2019/11/17/efectul-noului-mall-centrul-istoric-al-sibiului-se-goleste-de-magazine-158003,Relocated to Promenada Mall in 2019
Bigotti (Bălcescu),City Center Business,Shop (fashion),Strada Nicolae Bălcescu,,2019,Closed,press,No,,https://www.turnulsfatului.ro/2019/11/17/efectul-noului-mall-centrul-istoric-al-sibiului-se-goleste-de-magazine-158003,Relocated to Promenada Mall in 2019
Seroussi (Bălcescu),City Center Business,Shop (fashion),Strada Nicolae Bălcescu,,2019,Closed,press,No,,https://www.turnulsfatului.ro/2019/11/17/efectul-noului-mall-centrul-istoric-al-sibiului-se-goleste-de-magazine-158003,Relocated to Promenada Mall in 2019
Carrefour Express (Bălcescu),City Center Business,Shop (grocery),Strada Nicolae Bălcescu,,,Open,,No,Billa,https://www.turnulsfatului.ro/2019/11/17/efectul-noului-mall-centrul-istoric-al-sibiului-se-goleste-de-magazine-158003,Grocery in a former Billa location
Farmacia Catena,City Center Business,Pharmacy,Strada Nicolae Bălcescu 9,,,Open,,No,,https://firmania.ro/sibiu/catena-nicolae-balcescu-9-190868,Pharmacy on the main street
Farmacia Sensiblu,City Center Business,Pharmacy,Strada Nicolae Bălcescu 33,,,Open,,No,,https://www.sfatulmedicului.ro/farmacie/sensiblu-sibiu-balcescu_161,Pharmacy on the main street
BCR (bank branch),City Center Business,Bank,Strada Nicolae Bălcescu 11,,,Open,,No,,https://www.efin.ro/credite/banca_comerciala_romana_bcr/bcr_nicolae_balcescu_sucursala.html,Banca Comercială Română branch
Brukenthal National Museum,City Center Landmark,Museum,Piața Mare 4-5,1817,,Open,official,Yes,,https://www.tripadvisor.com/Attraction_Review-g295393-d3383016.html,"Romania's oldest museum (opened 1817), in a late-Baroque palace"
Council Tower (Turnul Sfatului),City Center Landmark,Tower/Museum,between Piața Mare & Piața Mică,,,Open,,Yes,,https://en.wikipedia.org/wiki/Council_Tower_of_Sibiu,13th-c tower with a small museum and viewpoint (ticketed)
History Museum (Altemberger House),City Center Landmark,Museum,Strada Mitropoliei 2,,,Open,,Yes,,https://sibiucityapp.ro/en/places/casa-altemberger-muzeul-de-istorie-njjr9q97,Gothic former town hall; ticketed history museum
Museum of Pharmacy,City Center Landmark,Museum,Piața Mică 26,,,Open,,Yes,,https://www.brukenthalmuseum.ro/sectoare/istorie_en,"In one of Sibiu's oldest pharmacy buildings (Brukenthal section)"
Bridge of Lies (Podul Minciunilor),City Center Landmark,Landmark,Piața Mică,1859,,Open,official,Yes,,https://en.wikipedia.org/wiki/Sibiu,Romania's first wrought-iron bridge (free landmark)
Evangelical (Lutheran) Cathedral,City Center Landmark,Church,Piața Huet,,,Open,,Yes,,https://www.secretromania.com/visit-sibiu-attractions-things-to-do/,"Gothic cathedral; tower climb ticketed"
Holy Trinity Roman Catholic Church,City Center Landmark,Church,Piața Mare,,,Open,,Yes,,https://www.mywanderlust.pl/things-to-do-in-sibiu-romania/,Baroque Jesuit church on the main square
