name,category,subcategory,address,opened,closed,status,date_basis,landmark,replaced_predecessor,source,notes
Brasseria,City Center Business,Restaurant,Piața Sfatului,,,Open,,No,Great Wall,https://www.bizbrasov.ro/2022/05/25/anpc-a-inchis-mai-multe-localuri-din-centrul-brasovului/,"Opened in the former Great Wall Chinese restaurant space; temporarily shut by ANPC May 2022"
McDonald's Republicii,City Center Business,Fast food,Strada Republicii,1997,2024-11-18,Closed,press,No,,https://bizbrasov.ro/2024/10/30/abrambureala-de-la-rial-alunga-mcdonalds-ul-de-pe-republicii-dupa-27-de-ani/,"First McDonald's in Brașov; opened 1997, closed 18 Nov 2024 after 27 years over a RIAL lease dispute"
Festival '39,City Center Business,Restaurant/Bar,Strada Republicii 62,,2020-12,Closed,press,No,,https://zilesinopti.ro/2020/12/22/festival-39-s-a-inchis-definitiv/,"Art-deco venue; closed definitively Dec 2020 (some guides still list it)"
Tipografia,City Center Business,Cafe,Strada Postăvarului 1,~2014,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d6704489.html,"Specialty coffee / craft beer + cultural space; ~opened confirmed by browser-read reviews"
Musik Cafe,City Center Business,Cafe,Strada Republicii 42,~2019,,Open,review,No,,https://www.tripadvisor.com/Attraction_Review-g295394-d17451686.html,Bohemian cafe in a medieval house
Meron,City Center Business,Cafe,Strada Michael Weiss 11,~2020,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d21329753.html,Specialty coffee (Piața George Enescu)
L'etage (Letage),City Center Business,Cafe,Strada Republicii 50,,,Open,,No,,https://wanderlog.com/list/geoCategory/17299/best-coffee-shops-and-best-cafes-in-brasov,Coffee shop on the pedestrian street
Tucano Coffee,City Center Business,Cafe,Strada Republicii 56,,,Open,,No,,https://www.turistulliber.ro/blog/aventuri-culinare/cafenele-brasov-unde-bei-o-cafea-buna/,"Themed coffee chain; TripAdvisor listing is the Coresi-mall branch, not this one"
Book Coffee Shop,City Center Business,Cafe,Strada Sfântul Ioan 24,,,Open,,No,,https://wanderlog.com/list/geoCategory/17299/best-coffee-shops-and-best-cafes-in-brasov,Coffee + books
Shake Coffee,City Center Business,Cafe,Strada Sfântul Ioan 30,,,Open,,No,,https://wanderlog.com/list/geoCategory/17299/best-coffee-shops-and-best-cafes-in-brasov,Specialty coffee
CH9 Specialty Coffee,City Center Business,Cafe,Curtea Honterus 9,~2019,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g2699686-d17611514.html,"Near the Black Church; on the Historic Cafés Route (2023)"
Nola coffeeshop,City Center Business,Cafe,Strada Hans Benkner 6,,,Open,,No,,https://wanderlog.com/list/geoCategory/17299/best-coffee-shops-and-best-cafes-in-brasov,Specialty coffee
tekafe,City Center Business,Cafe,Strada Apollonia Hirscher 10,,,Open,,No,,https://wanderlog.com/list/geoCategory/17299/best-coffee-shops-and-best-cafes-in-brasov,Coffee shop
Velo Coffee - Cafe du Theatre,City Center Business,Cafe,Piața Teatrului 2,~2018,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d14045879.html,Roastery / single-origin Romanian beans
Shakespeare Coffee & Poetry,City Center Business,Cafe,Strada Grigoraș Dinicu 1,,,Open,,No,,https://restaurantguru.com/Shakespeare-coffee-in-love-Brasov,"Active through 2026; no first-review date found"
Galleria Art & Coffee,City Center Business,Cafe,Strada Colonel Ion Buzoianu 1A,~2014,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d4795004.html,Art-themed cafe on the edge of the center
Starbucks Piața Sfatului,City Center Business,Cafe,Piața Sfatului 18,~2018,,Open,press,No,ING Bank branch,https://www.bizbrasov.ro/2017/10/19/starbucks-deschide-anul-acesta-o-cafenea-piata-sfatului/,"Opened in a former ING Bank branch; announced end-2017, opened ~2018 after staffing delays"
5 to go (flagship),City Center Business,Cafe,Piața Sfatului (nearby),2023-07,,Open,press,No,,https://www.bizbrasov.ro/2023/07/24/nou-concept-cafenea-piata-sfatului/,New flagship coffee-shop concept (>100 sqm) opened July 2023
La Vatra Ardealului,City Center Business,Cafe/Pastry,Strada Gheorghe Barițiu 14,1990-12-19,,Open,press,Yes,,https://adevarul.ro/stiri-locale/brasov/trei-localuri-seculare-din-brasov-incluse-in-2327249.html,"Founded 19 Dec 1990; joined the Council of Europe Historic Cafés Route Dec 2023"
Deane's Irish Pub & Grill,City Center Business,Pub,Strada Republicii 19,~2010,2025,Rebranded,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d1228159.html,"Best Irish pub in Romania; rebranded as O'Peter's Irish Pub ~mid-2025 (same venue/address)"
O'Peter's Irish Pub & Grill,City Center Business,Pub,Strada Republicii 19,2025,,Open,press,No,Deane's Irish Pub & Grill,https://www.instagram.com/opetersbrasov/,"Rebrand of Deane's at the same address (~mid-2025)"
Rockstadt,City Center Business,Bar,Strada Republicii,2010,,Open,official,No,,https://www.tripadvisor.com/Attraction_Review-g295394-d21126391.html,"Rock/metal club; founded 13 Oct 2010 per its own TripAdvisor ""About"""
Aftăr Stube,City Center Business,Pub,Strada Alecu Russo 4,~2018,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d15607583.html,Brewpub in the old city
The Hockey Pub,City Center Business,Pub,Strada Nicolae Bălcescu 12,~2014,~2018,Closed,review,No,,https://www.tripadvisor.com/Attraction_Review-g295394-d6914787.html,"Closed; last review ~2018"
Kafe Pub,City Center Business,Pub,Strada Poarta Schei 5,~2013,~2020,Closed,review,No,,https://restaurantguru.com/Kafe-Pub-Brasov,"Closed; last activity ~2020"
Gaura Dulce,City Center Business,Bar,Piața Sfatului 14,,,Open,,No,,https://wanderlog.com/list/geoCategory/207331/where-to-eat-best-restaurants-in-brasov-county,Romanian food + pub
Terroirs Boutique du Vin,City Center Business,Wine bar,Strada Postăvarului 2,~2013,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d4818409.html,Wine bar
Opus 9,City Center Business,Bar,Brașov center,~2019,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d16808363.html,Brunch + cocktail bar; exact address not sourced
Berăria Poftă sau Foame,City Center Business,Pub/Restaurant,Strada Politehnicii 1,~2020,,Open,review,No,Berărie Ciucaș,https://www.tripadvisor.com/Restaurant_Review-g295394-d21167959.html,Occupies the former Berărie Ciucaș
Panner Maison Finesse,City Center Business,Bakery,Piața Sfatului 2,~2025,,Open,review,No,,https://www.panner.ro/,"French-style patisserie; Piața Sfatului location new (~2025), no reviews yet"
Aro Palace,City Center Business,Hotel,Bulevardul Eroilor 27,1939-07-01,,Open,press,Yes,,https://ro.wikipedia.org/wiki/Hotelul_Aro_Palace,"First luxury hotel in Brașov, opened 1 Jul 1939; 5-star since 2005; Oct 2025 press reported a planned Hyatt rebrand"
Casa Wagner,City Center Business,Hotel,Piața Sfatului 5,~2009,,Open,review,Yes,,https://romaniatourism.com/hotels/hotel-casa-wagner.html,"Hotel in a 1477 building; ~opened from earliest review, last renovation 2021"
Bella Muzica Hotel,City Center Business,Hotel,Piața Sfatului 19,~2010,,Open,review,Yes,,https://bellamuzica.ro/en/,3-star hotel above the Bella Muzica restaurant
Safrano Palace,City Center Business,Hotel,Piața Sfatului 23,~2017,,Open,review,Yes,,https://www.tripadvisor.com/Hotel_Review-g295394-d12461282.html,"Late-19th-c inn building, 50 m from the Black Church"
Hotel Casa Chitic,City Center Business,Hotel,Strada Nicolae Bălcescu,~2018,,Open,review,Yes,,https://www.casachitic.ro/,"4-star boutique in a 1697 building; joined the Historic Cafés Route Dec 2023"
Hotel Ambient,City Center Business,Hotel,Brașov historic centre,~2009,,Open,review,No,,https://www.tripadvisor.com/Hotel_Review-g295394-d595140.html,Full-service hotel with spa + restaurant
Residence Piața Sfatului,City Center Business,Guesthouse,near Piața Sfatului,,,Open,,No,,https://www.piatasfatuluiapartments.ro/en/blog/ghid-cultural-muzee-brasov,10 rooms
Casa Krone,City Center Business,Guesthouse,Piața Sfatului,,,Open,,No,,https://www.tripadvisor.com/HotelsNear-g295394-d3584783.html,Guesthouse on the square
Centrum House Hostel,City Center Business,Hostel,Brașov Old Town,,,Open,,No,,https://www.tripadvisor.com/HotelsNear-g295394-d3584783.html,8-room hostel
Drachenhaus,City Center Business,Hotel,Brașov Old Town,,,Open,,No,,https://www.tripadvisor.com/HotelsNear-g295394-d3584783.html,Old Town hotel
Pensiunea Casa Rozelor,City Center Business,Guesthouse,Prund-Schei (near Piața Sfatului),,,Open,,No,,https://ghidlocal.com/brasov/cazare/pensiunea-casa-rozelor-brasov/,In a 15th-c listed monument building
King Art,City Center Business,Shop (souvenirs),Strada Republicii 27,,,Unknown,,No,,https://brasov.cylex.ro/,Souvenir shop (directory listing only)
Cashmir,City Center Business,Shop (jewelry),Strada Republicii 28,,,Unknown,,No,,https://brasov.cylex.ro/,Jewelry shop (directory listing only)
Cuart,City Center Business,Shop (jewelry),Strada Republicii 51,,,Unknown,,No,,https://brasov.cylex.ro/,Jewelry shop (directory listing only)
Caola Comex,City Center Business,Shop (souvenirs),Strada Republicii 49,,,Unknown,,No,,https://brasov.cylex.ro/,Souvenir shop (directory listing only)
Pebs Concept,City Center Business,Shop (jewelry/concept),Strada Republicii 39,,,Open,,No,,https://pebs.ro/,Jewelry / concept store
Nature Gallery (Argin 925),City Center Business,Shop (jewelry),Strada Republicii 3,,,Open,,No,,https://www.naturegallery.ro/despre-noi,Silver jewelry with stones/fossils
Farmacia Dr.Max Republicii,City Center Business,Pharmacy,Strada Republicii 15,,,Open,,No,,https://kompas.ro/afaceri/brasov/farmacii/farmacia-drmax-ghb0,Pharmacy
Farmacia FarmaPlus Republicii,City Center Business,Pharmacy,Strada Republicii 27,,,Open,,No,,https://brasoveni.ro/biz/farmacia-farmaplus-republicii-brasov/,Pharmacy
Aurofarm,City Center Business,Pharmacy,Strada Republicii,,,Open,,No,,https://undemergem.ro/ro/places/aurofarm-trading-farmacie-brasov,Open late daily incl. holidays
Help Net Republicii,City Center Business,Pharmacy,Strada Republicii,,,Open,,No,,https://www.helpnet.ro/help-net-67,Pharmacy chain branch
Casa Sfatului (Brașov County History Museum),City Center Landmark,Museum,Piața Sfatului 30,1950,,Open,official,Yes,,https://www.inyourpocket.com/brasov/casa-sfatuluibrasov-history-museum_53598v,"Council House built 1420; history museum founded 1950"
Museum of Urban Civilization,City Center Landmark,Museum,Piața Sfatului 15,,,Open,,Yes,,https://en.wikipedia.org/wiki/Museum_of_Urban_Civilization,Branch of the county history museum
Casa Mureșenilor Museum,City Center Landmark,Museum,Piața Sfatului 25,,,Open,,Yes,,https://www.piatasfatuluiapartments.ro/en/blog/ghid-cultural-muzee-brasov,"15th-c building; Mureșianu family residence from 1840"
Black Church (Biserica Neagră),City Center Landmark,Church/Museum,Curtea Honterus,,,Open,,Yes,,https://www.romanianfriend.com/attractions/brasov-city-guide-top-things-to-do-places-to-visit,"Gothic church, ticketed entry"
First Romanian School Museum,City Center Landmark,Museum,Piața Unirii 2-3,,,Open,,Yes,,https://www.lonelyplanet.com/romania/transylvania/brasov/attractions/first-romanian-school-museum,In the Șchei quarter by Piața Unirii
Muzeul de Artă Brașov,City Center Landmark,Museum,Bulevardul Eroilor 21,,,Open,,Yes,,https://ro.wikipedia.org/wiki/Muzeul_de_Art%C4%83_din_Bra%C8%99ov,In a 1902 neo-baroque building at the edge of the old town
Muzeul de Etnografie Brașov,City Center Landmark,Museum,Bulevardul Eroilor 21A,,,Open,,Yes,,https://etnobrasov.ro/contact/,Shares the building with the Art Museum
Banca Națională Săsească (historic),City Center Landmark,Bank (historic),cnr Strada Republicii / Strada Michael Weiss,,,Unknown,,No,,https://ro.wikipedia.org/wiki/Strada_Republicii_din_Bra%C8%99ov,One of the first banks in Brașov/Transylvania; historic building
